category,stat_key,page_number,story_id,rank,team,goals,assists,attempts_at_goal,attempts_on_target,off_target_attempts,attempts_at_goal_conv_rate_pct,attempts_inside_the_penalty_area,attempts_outside_the_penalty_area,headed_attempts_at_goal,xg,xg_efficiency,corners,possession_control_pct,passes,passing_accuracy_pct,crosses,crossing_accuracy_pct,defensive_linebreaks_attempted,defensive_linebreaks_acc_pct,switches_of_play_attempted,switches_of_play_acc_pct,own_goals,goals_conceded,forced_turnovers,ball_recovery_time_s,defensive_pressures_applied,defensive_pressures_directly_applied,fouls_against,fouls_for,yellow_cards,red_cards,indirect_red_cards,offsides,clean_sheets,goalkeeper_saves,goalkeeper_actions_inside_the_penalty_area,goalkeeper_actions_outside_the_penalty_area,offers_to_receive,offers_in_behind,offers_in_between,offers_in_front,offers_inside_team_shape,offers_outside_team_shape,receptions_in_behind,receptions_between_midfield_and_defensive_line,receptions_under_pressure,average_speed_km_h,high_speed_running,sprints,total_distance_m
Attacking,gct_attack,1,browser:gct_attack,1,France,14.0,12.0,88.0,39.0,35.0,16.0,48.0,40.0,5.0,9.79,1.43x,36.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,1,Argentina,14.0,8.0,76.0,34.0,29.0,18.0,46.0,30.0,14.0,11.91,1.18x,23.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,3,Belgium,13.0,9.0,107.0,33.0,42.0,12.0,70.0,37.0,15.0,10.28,1.26x,23.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,4,Norway,12.0,9.0,52.0,26.0,18.0,23.0,42.0,10.0,10.0,9.07,1.32x,22.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,5,Netherlands,11.0,10.0,46.0,22.0,15.0,24.0,35.0,11.0,14.0,5.0,2.2x,18.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,5,United States,11.0,4.0,59.0,19.0,24.0,19.0,47.0,12.0,12.0,6.37,1.73x,26.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,5,England,11.0,9.0,80.0,32.0,30.0,14.0,63.0,17.0,22.0,10.59,1.04x,31.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,5,Germany,11.0,10.0,74.0,28.0,26.0,15.0,48.0,26.0,12.0,8.64,1.27x,34.0,56.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,9,Brazil,10.0,8.0,73.0,29.0,24.0,14.0,50.0,23.0,11.0,10.88,0.92x,27.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,9,Morocco,10.0,9.0,64.0,25.0,20.0,16.0,38.0,26.0,9.0,6.4,1.56x,25.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,9,Mexico,10.0,7.0,70.0,21.0,32.0,14.0,44.0,26.0,13.0,8.1,1.23x,19.0,48.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,9,Senegal,10.0,9.0,68.0,22.0,32.0,15.0,38.0,30.0,7.0,7.22,1.38x,22.0,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,13,Spain,9.0,8.0,93.0,32.0,41.0,10.0,55.0,38.0,16.0,10.56,0.85x,39.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,13,Switzerland,9.0,5.0,63.0,25.0,25.0,14.0,45.0,18.0,5.0,8.97,1x,26.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,13,Canada,9.0,3.0,81.0,32.0,29.0,11.0,57.0,24.0,16.0,9.02,1x,50.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,16,Egypt,8.0,8.0,67.0,19.0,30.0,12.0,42.0,25.0,10.0,5.75,1.39x,26.0,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,16,Japan,8.0,7.0,32.0,11.0,15.0,25.0,16.0,16.0,5.0,3.17,2.52x,13.0,42.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Attacking,gct_attack,1,browser:gct_attack,16,Portugal,8.0,4.0,62.0,17.0,31.0,13.0,40.0,22.0,8.0,6.39,1.25x,22.0,53.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
