match_id,date,stage,round,group,host_city,host_country,latitude,longitude,home_team,away_team
GRP-A-M1,2026-06-11T19:00:00+00:00,group,group,A,Mexico City,Mexico,19.3029,-99.1505,Mexico,South Africa
GRP-A-M2,2026-06-12T02:00:00+00:00,group,group,A,Zapopan,Mexico,20.6804,-103.4623,South Korea,Czech Republic
GRP-B-M1,2026-06-12T19:00:00+00:00,group,group,B,Toronto,Canada,43.6332,-79.4187,Canada,Bosnia and Herzegovina
GRP-D-M1,2026-06-13T01:00:00+00:00,group,group,D,Inglewood,United States,33.9535,-118.3392,United States,Paraguay
GRP-B-M2,2026-06-13T19:00:00+00:00,group,group,B,Santa Clara,United States,37.403,-121.97,Qatar,Switzerland
GRP-C-M1,2026-06-13T22:00:00+00:00,group,group,C,East Rutherford,United States,40.8135,-74.0745,Brazil,Morocco
GRP-C-M2,2026-06-14T01:00:00+00:00,group,group,C,Foxborough,United States,42.0909,-71.2643,Haiti,Scotland
GRP-D-M2,2026-06-14T04:00:00+00:00,group,group,D,Vancouver,Canada,49.2768,-123.1119,Australia,Turkey
GRP-E-M1,2026-06-14T17:00:00+00:00,group,group,E,Houston,United States,29.6847,-95.4107,Germany,Curaçao
GRP-F-M1,2026-06-14T20:00:00+00:00,group,group,F,Arlington,United States,32.7473,-97.0945,Netherlands,Japan
GRP-E-M2,2026-06-14T23:00:00+00:00,group,group,E,Philadelphia,United States,39.9008,-75.1675,Ivory Coast,Ecuador
GRP-F-M2,2026-06-15T02:00:00+00:00,group,group,F,Guadalupe,Mexico,25.6695,-100.2442,Sweden,Tunisia
GRP-H-M1,2026-06-15T16:00:00+00:00,group,group,H,Atlanta,United States,33.7553,-84.4008,Spain,Cape Verde
GRP-G-M1,2026-06-15T19:00:00+00:00,group,group,G,Seattle,United States,47.5952,-122.3316,Belgium,Egypt
GRP-H-M2,2026-06-15T22:00:00+00:00,group,group,H,Miami Gardens,United States,25.958,-80.2389,Saudi Arabia,Uruguay
GRP-G-M2,2026-06-16T01:00:00+00:00,group,group,G,Inglewood,United States,33.9535,-118.3392,Iran,New Zealand
GRP-I-M1,2026-06-16T19:00:00+00:00,group,group,I,East Rutherford,United States,40.8135,-74.0745,France,Senegal
GRP-I-M2,2026-06-16T22:00:00+00:00,group,group,I,Foxborough,United States,42.0909,-71.2643,Iraq,Norway
GRP-J-M1,2026-06-17T01:00:00+00:00,group,group,J,Kansas City,United States,39.0489,-94.4849,Argentina,Algeria
