team,world_bank_code,population_total,gdp_per_capita
Algeria,DZA,46814308.0,5752.99076651465
Argentina,ARG,45696159.0,13969.7836603737
Australia,AUS,27196812.0,64603.9856308464
Austria,AUT,9177982.0,58268.8787651601
Belgium,BEL,11858610.0,56614.5679499036
Bosnia and Herzegovina,BIH,3164253.0,9358.78768951134
Brazil,BRA,211998573.0,10310.5488778166
Canada,CAN,41288599.0,54340.3477224733
Cape Verde,CPV,524877.0,5192.48157325878
Colombia,COL,52886363.0,7919.20886825345
Croatia,HRV,3866200.0,24050.4397933135
Curaçao,CUW,155967.0,22832.8953958667
Czech Republic,,,
DR Congo,COD,109276265.0,649.383338556725
Ecuador,ECU,18135478.0,6874.705739766
Egypt,,,
England,GBR,69226000.0,53246.3676145108
France,FRA,68551653.0,46103.0840855884
Germany,DEU,83516593.0,56103.7323182554
Ghana,GHA,34427414.0,2390.77237652715
Haiti,HTI,11772557.0,2142.62330526788
Iran,IRN,91567738.0,5190.16959024821
Iraq,IRQ,46042015.0,6073.61032342708
Ivory Coast,CIV,31934230.0,2727.8935220697
Japan,JPN,123975371.0,32487.0778047567
Jordan,JOR,11552876.0,4618.09592498567
Mexico,MEX,130861007.0,14185.7812248529
Morocco,MAR,38081173.0,4153.1943359375
Netherlands,NLD,17993485.0,67520.4218956281
New Zealand,NZL,5287500.0,49205.1792146792
Norway,NOR,5572279.0,86785.4334489176
Panama,PAN,4515577.0,19161.2188501596
Paraguay,PRY,6929153.0,6416.09708970845
Portugal,PRT,10694681.0,29292.242104753
Qatar,QAT,2857822.0,76688.6941743178
Saudi Arabia,SAU,35300280.0,35121.6628687742
Scotland,GBR,69226000.0,53246.3676145108
Senegal,SEN,18501984.0,1773.21829923448
South Africa,ZAF,64007187.0,6267.186814093
South Korea,KOR,51751065.0,36238.639908315
Spain,ESP,48848840.0,35326.7683069278
Sweden,SWE,10569709.0,57117.4877440616
Switzerland,CHE,9005582.0,103998.186685604
Tunisia,TUN,12277109.0,4181.13789301228
Turkey,TUR,85518661.0,15892.7157287241
United States,USA,340110988.0,84534.0407841548
Uruguay,URY,3386588.0,23906.5133029408
Uzbekistan,UZB,36361859.0,3161.70010632875
