match_id,date,stage,round,group,home_team,away_team,home_goals,away_goals,tournament,city,country,neutral
HIST-00001,2018-01-02 00:00:00+00:00,historical,historical,,Iraq,United Arab Emirates,0,0,Gulf Cup,Kuwait City,Kuwait,True
HIST-00002,2018-01-02 00:00:00+00:00,historical,historical,,Oman,Bahrain,1,0,Gulf Cup,Kuwait City,Kuwait,True
HIST-00003,2018-01-05 00:00:00+00:00,historical,historical,,Oman,United Arab Emirates,0,0,Gulf Cup,Kuwait City,Kuwait,True
HIST-00004,2018-01-07 00:00:00+00:00,historical,historical,,Estonia,Sweden,1,1,Friendly,Abu Dhabi,United Arab Emirates,True
HIST-00005,2018-01-11 00:00:00+00:00,historical,historical,,Denmark,Sweden,0,1,Friendly,Abu Dhabi,United Arab Emirates,True
HIST-00006,2018-01-11 00:00:00+00:00,historical,historical,,Indonesia,Iceland,0,6,Friendly,Sleman,Indonesia,False
HIST-00007,2018-01-11 00:00:00+00:00,historical,historical,,Jordan,Finland,1,2,Friendly,Abu Dhabi,United Arab Emirates,True
HIST-00008,2018-01-14 00:00:00+00:00,historical,historical,,Indonesia,Iceland,1,4,Friendly,Jakarta,Indonesia,False
HIST-00009,2018-01-27 00:00:00+00:00,historical,historical,,Moldova,South Korea,0,1,Friendly,Antalya,Turkey,True
HIST-00010,2018-01-28 00:00:00+00:00,historical,historical,,United States,Bosnia and Herzegovina,0,0,Friendly,Carson,United States,False
HIST-00011,2018-01-28 00:00:00+00:00,historical,historical,,Yorkshire,Ellan Vannin,1,1,Friendly,Fitzwilliam,England,False
HIST-00012,2018-01-30 00:00:00+00:00,historical,historical,,Azerbaijan,Moldova,0,0,Friendly,Antalya,Turkey,True
HIST-00013,2018-01-30 00:00:00+00:00,historical,historical,,Jamaica,South Korea,2,2,Friendly,Antalya,Turkey,True
HIST-00014,2018-01-31 00:00:00+00:00,historical,historical,,Mexico,Bosnia and Herzegovina,1,0,Friendly,San Antonio,United States,True
HIST-00015,2018-02-03 00:00:00+00:00,historical,historical,,Latvia,South Korea,0,1,Friendly,Antalya,Turkey,True
HIST-00016,2018-02-26 00:00:00+00:00,historical,historical,,Saudi Arabia,Moldova,3,0,Friendly,Jeddah,Saudi Arabia,False
HIST-00017,2018-02-28 00:00:00+00:00,historical,historical,,Iraq,Saudi Arabia,4,1,Friendly,Basra,Iraq,False
HIST-00018,2018-03-17 00:00:00+00:00,historical,historical,,Iran,Sierra Leone,4,0,Friendly,Tehran,Iran,False
HIST-00019,2018-03-21 00:00:00+00:00,historical,historical,,Andorra,Liechtenstein,1,0,Friendly,La Línea de la Concepción,Spain,True
HIST-00020,2018-03-21 00:00:00+00:00,historical,historical,,Antigua and Barbuda,Bermuda,3,2,Friendly,St. John's,Antigua and Barbuda,False
HIST-00021,2018-03-21 00:00:00+00:00,historical,historical,,Iraq,Qatar,2,3,Friendly,Basra,Iraq,False
HIST-00022,2018-03-21 00:00:00+00:00,historical,historical,,Jordan,Kuwait,1,0,Friendly,Amman,Jordan,False
HIST-00023,2018-03-21 00:00:00+00:00,historical,historical,,Laos,Cambodia,0,1,Friendly,Vientiane,Laos,False
HIST-00024,2018-03-21 00:00:00+00:00,historical,historical,,Madagascar,Togo,0,0,Friendly,Saint-Leu-la-Forêt,France,True
HIST-00025,2018-03-21 00:00:00+00:00,historical,historical,,South Africa,Angola,1,1,Friendly,Ndola,Zambia,True
HIST-00026,2018-03-21 00:00:00+00:00,historical,historical,,Tahiti,New Caledonia,0,0,Friendly,Pirae,Tahiti,False
HIST-00027,2018-03-21 00:00:00+00:00,historical,historical,,Zambia,Zimbabwe,2,2,Friendly,Ndola,Zambia,False
HIST-00028,2018-03-22 00:00:00+00:00,historical,historical,,Algeria,Tanzania,4,1,Friendly,Algiers,Algeria,False
HIST-00029,2018-03-22 00:00:00+00:00,historical,historical,,Bahrain,Palestine,0,0,Friendly,Riffa,Bahrain,False
HIST-00030,2018-03-22 00:00:00+00:00,historical,historical,,Belize,Grenada,4,2,Friendly,Belmopan,Belize,False
HIST-00031,2018-03-22 00:00:00+00:00,historical,historical,,Burkina Faso,Guinea-Bissau,2,0,Friendly,Limeil-Brévannes,France,True
HIST-00032,2018-03-22 00:00:00+00:00,historical,historical,,China,Wales,0,6,Friendly,Nanning,China,False
HIST-00033,2018-03-22 00:00:00+00:00,historical,historical,,Denmark,Panama,1,0,Friendly,Brøndby,Denmark,False
HIST-00034,2018-03-22 00:00:00+00:00,historical,historical,,Dominican Republic,Turks and Caicos Islands,4,0,Friendly,Santo Domingo,Dominican Republic,False
HIST-00035,2018-03-22 00:00:00+00:00,historical,historical,,Faroe Islands,Latvia,1,1,Friendly,San Pedro Alcántara,Spain,True
HIST-00036,2018-03-22 00:00:00+00:00,historical,historical,,Kyrgyzstan,Myanmar,5,1,AFC Asian Cup qualification,Incheon,South Korea,True
HIST-00037,2018-03-22 00:00:00+00:00,historical,historical,,Macau,Mauritius,0,1,Friendly,Macau,Macau,False
HIST-00038,2018-03-22 00:00:00+00:00,historical,historical,,Malaysia,Mongolia,2,2,Friendly,Kuala Lumpur,Malaysia,False
HIST-00039,2018-03-22 00:00:00+00:00,historical,historical,,Malta,Luxembourg,0,1,Friendly,Attard,Malta,False
HIST-00040,2018-03-22 00:00:00+00:00,historical,historical,,Nicaragua,Cuba,3,1,Friendly,Managua,Nicaragua,False
HIST-00041,2018-03-22 00:00:00+00:00,historical,historical,,Philippines,Fiji,3,2,Friendly,Manila,Philippines,False
HIST-00042,2018-03-22 00:00:00+00:00,historical,historical,,Slovakia,United Arab Emirates,2,1,Friendly,Bangkok,Thailand,True
HIST-00043,2018-03-22 00:00:00+00:00,historical,historical,,Thailand,Gabon,0,0,Friendly,Bangkok,Thailand,False
