team,player_name,name_norm
Czech Republic,Matěj Kovář,mat j kov
Czech Republic,David Zima,david zima
Czech Republic,Tomáš Holeš,tom hole
Czech Republic,Robin Hranáč,robin hran
Czech Republic,Vladimír Coufal,vladim r coufal
Czech Republic,Štěpán Chaloupek,t p n chaloupek
Czech Republic,Ladislav Krejčí,ladislav krej
Czech Republic,Vladimír Darida,vladim r darida
Czech Republic,Adam Hložek,adam hlo ek
Czech Republic,Patrik Schick,patrik schick
Czech Republic,Jan Kuchta,jan kuchta
Czech Republic,Lukáš Červ,luk erv
Czech Republic,Mojmír Chytil,mojm r chytil
Czech Republic,David Jurásek,david jur sek
Czech Republic,Pavel Šulc,pavel ulc
Czech Republic,Jindřich Staněk,jind ich stan k
Czech Republic,Lukáš Provod,luk provod
Czech Republic,Michal Sadílek,michal sad lek
Czech Republic,Tomáš Chorý,tom chor
Czech Republic,Jaroslav Zelený,jaroslav zelen
Czech Republic,David Douděra,david doud ra
Czech Republic,Tomáš Souček,tom sou ek
Czech Republic,Lukáš Horníček,luk horn ek
Czech Republic,Alexandr Sojka,alexandr sojka
Czech Republic,Hugo Sochůrek,hugo soch rek
Czech Republic,Denis Višinský,denis vi insk
Mexico,Raúl Rangel,ra l rangel
Mexico,Jorge Sánchez,jorge s nchez
Mexico,César Montes,c sar montes
Mexico,Edson Álvarez,edson lvarez
Mexico,Johan Vásquez,johan v squez
Mexico,Érik Lira,rik lira
Mexico,Luis Romo,luis romo
Mexico,Álvaro Fidalgo,lvaro fidalgo
Mexico,Raúl Jiménez,ra l jim nez
Mexico,Alexis Vega,alexis vega
Mexico,Santiago Giménez,santiago gim nez
Mexico,Carlos Acevedo,carlos acevedo
Mexico,Guillermo Ochoa,guillermo ochoa
Mexico,Armando González,armando gonz lez
Mexico,Israel Reyes,israel reyes
Mexico,Julián Quiñones,juli n qui ones
Mexico,Orbelín Pineda,orbel n pineda
Mexico,Obed Vargas,obed vargas
Mexico,Gilberto Mora,gilberto mora
Mexico,Mateo Chávez,mateo ch vez
Mexico,César Huerta,c sar huerta
Mexico,Guillermo Martínez,guillermo mart nez
Mexico,Jesús Gallardo,jes s gallardo
Mexico,Luis Chávez,luis ch vez
Mexico,Roberto Alvarado,roberto alvarado
Mexico,Brian Gutiérrez,brian guti rrez
South Africa,Ronwen Williams,ronwen williams
South Africa,Thabang Matuludi,thabang matuludi
South Africa,Khulumani Ndamane,khulumani ndamane
South Africa,Teboho Mokoena,teboho mokoena
South Africa,Thalente Mbatha,thalente mbatha
South Africa,Aubrey Modiba,aubrey modiba
South Africa,Oswin Appollis,oswin appollis
South Africa,Tshepang Moremi,tshepang moremi
South Africa,Lyle Foster,lyle foster
South Africa,Relebohile Mofokeng,relebohile mofokeng
South Africa,Themba Zwane,themba zwane
South Africa,Thapelo Maseko,thapelo maseko
South Africa,Sphephelo Sithole,sphephelo sithole
South Africa,Mbekezeli Mbokazi,mbekezeli mbokazi
South Africa,Iqraam Rayners,iqraam rayners
South Africa,Sipho Chaine,sipho chaine
South Africa,Evidence Makgopa,evidence makgopa
South Africa,Samukele Kabini,samukele kabini
South Africa,Nkosinathi Sibisi,nkosinathi sibisi
South Africa,Khuliso Mudau,khuliso mudau
South Africa,Ime Okon,ime okon
South Africa,Ricardo Goss,ricardo goss
