team,group,ranking_points,seed_rating,matches_seen
Spain,H,1817.4,1817.4,104
Argentina,J,1806.31,1806.31,103
Morocco,C,1806.28,1806.28,116
France,I,1767.04,1767.04,108
Japan,F,1760.85,1760.85,109
Algeria,J,1754.24,1754.24,111
England,L,1748.25,1748.25,108
Portugal,K,1747.73,1747.73,103
Senegal,I,1734.56,1734.56,109
Brazil,C,1730.65,1730.65,101
Iran,G,1727.68,1727.68,91
Germany,E,1724.25,1724.25,99
Mexico,A,1718.92,1718.92,139
Netherlands,F,1717.65,1717.65,97
South Korea,A,1715.27,1715.27,111
Colombia,K,1712.41,1712.41,97
Ivory Coast,E,1696.82,1696.82,91
Belgium,G,1695.65,1695.65,102
Italy,,1691.76,1691.76,97
Croatia,L,1688.96,1688.96,104
Egypt,G,1685.43,1685.43,103
Ecuador,E,1680.8,1680.8,92
Nigeria,,1678.26,1678.26,105
Australia,D,1678.25,1678.25,82
Turkey,D,1677.09,1677.09,96
Canada,B,1676.94,1676.94,93
Norway,I,1674.47,1674.47,83
Denmark,,1672.66,1672.66,100
Austria,J,1669.01,1669.01,92
United States,D,1663.28,1663.28,125
Russia,,1661.33,1661.33,76
Switzerland,B,1661.21,1661.21,101
Uzbekistan,K,1657.19,1657.19,89
Uruguay,H,1654.65,1654.65,94
Iraq,I,1636.85,1636.85,110
Tunisia,F,1628.7,1628.7,114
Panama,L,1625.89,1625.89,120
Mali,,1619.33,1619.33,79
Cameroon,,1615.58,1615.58,85
DR Congo,K,1615.14,1615.14,84
South Africa,A,1607.7,1607.7,102
Jordan,J,1605.92,1605.92,113
Jersey,,1603.41,1603.41,18
Ukraine,,1601.32,1601.32,91
Czech Republic,A,1601.05,1601.05,93
Ynys Môn,,1596.14,1596.14,12
Burkina Faso,,1594.73,1594.73,90
Hungary,,1593.29,1593.29,90
Serbia,,1592.51,1592.51,94
Saudi Arabia,H,1592.38,1592.38,128
Malaysia,,1590.35,1590.35,90
Sweden,F,1589.36,1589.36,102
Poland,,1587.0,1587.0,96
United Arab Emirates,,1586.97,1586.97,102
Thailand,,1584.51,1584.51,99
Scotland,C,1584.31,1584.31,90
Cape Verde,H,1579.84,1579.84,74
Greece,,1577.93,1577.93,84
Jamaica,,1576.98,1576.98,107
Costa Rica,,1576.43,1576.43,112
Paraguay,D,1576.11,1576.11,80
Vietnam,,1574.24,1574.24,87
Slovenia,,1571.75,1571.75,88
Haiti,C,1571.47,1571.47,69
Oman,,1562.18,1562.18,107
Kosovo,,1560.36,1560.36,85
Republic of Ireland,,1558.85,1558.85,84
Angola,,1553.35,1553.35,80
Isle of Man,,1552.05,1552.05,13
Venezuela,,1551.28,1551.28,83
Wales,,1547.05,1547.05,89
Abkhazia,,1546.42,1546.42,11
Georgia,,1544.79,1544.79,86
Honduras,,1543.1,1543.1,93
Kárpátalja,,1542.34,1542.34,6
Slovakia,,1542.26,1542.26,91
Qatar,B,1541.85,1541.85,122
Yorkshire,,1541.45,1541.45,7
Chile,,1539.8,1539.8,92
New Caledonia,,1539.7,1539.7,32
New Zealand,G,1538.63,1538.63,53
Tamil Eelam,,1534.23,1534.23,13
Romania,,1533.89,1533.89,88
Northern Cyprus,,1532.99,1532.99,6
Tahiti,,1532.5,1532.5,28
Suriname,,1532.03,1532.03,53
Basque Country,,1531.2,1531.2,5
Guernsey,,1530.5,1530.5,14
Guadeloupe,,1530.33,1530.33,44
Guatemala,,1530.2,1530.2,94
South Ossetia,,1529.8,1529.8,7
Zanzibar,,1525.37,1525.37,4
Padania,,1524.97,1524.97,11
Ghana,L,1523.93,1523.93,79
Indonesia,,1523.73,1523.73,91
Artsakh,,1523.42,1523.42,5
Isle of Wight,,1522.94,1522.94,4
Elba Island,,1521.3,1521.3,2
Maule Sur,,1521.29,1521.29,2
Cascadia,,1520.95,1520.95,7
Kernow,,1519.8,1519.8,2
Ellan Vannin,,1519.26,1519.26,5
Gabon,,1519.15,1519.15,63
Papua New Guinea,,1518.56,1518.56,33
China,,1517.22,1517.22,76
Libya,,1517.12,1517.12,61
Guyana,,1516.79,1516.79,56
Curaçao,E,1516.78,1516.78,61
Chameria,,1511.95,1511.95,7
Biafra,,1511.67,1511.67,3
Catalonia,,1511.42,1511.42,1
Parishes of Jersey,,1511.27,1511.27,3
Franconia,,1511.0,1511.0,1
Surrey,,1510.99,1510.99,1
Guinea,,1510.44,1510.44,78
Israel,,1510.36,1510.36,76
Bahrain,,1510.28,1510.28,110
Réunion,,1508.95,1508.95,9
Syria,,1508.94,1508.94,91
Dominican Republic,,1506.52,1506.52,59
Peru,,1506.05,1506.05,98
Mayotte,,1504.4,1504.4,7
Orkney,,1503.74,1503.74,11
Zambia,,1503.53,1503.53,87
Gambia,,1503.49,1503.49,63
Luhansk PR,,1502.67,1502.67,2
Saint Barthélemy,,1502.59,1502.59,8
Raetia,,1501.04,1501.04,7
Mapuche,,1500.35,1500.35,2
Western Armenia,,1500.06,1500.06,11
Matabeleland,,1499.4,1499.4,8
Tajikistan,,1498.86,1498.86,68
Shetland,,1498.0,1498.0,11
North Macedonia,,1497.09,1497.09,86
United Koreans in Japan,,1497.06,1497.06,6
Uganda,,1494.44,1494.44,77
